,Scheme_Name,Rating,Category,Launch_Date,Expense_Ratio,ret_1yr,AUM,Sortino_Ratio,Beta,Alpha,ret_3yr,ret_5yr,x,y,Scheme_Code
118675,Reliance Vision Fund - Direct Plan Growth Plan - Bonus Option,* *,EQ-L&MC,1/1/2013,1.56,-20.2,2846.27,0.28,0.97,-5.19,9.76,13.76,9.068100929260254,-31.806413650512695,118675
118678,Reliance Vision Fund - Direct Plan Growth Plan - Growth Option,* *,EQ-L&MC,1/1/2013,1.56,-20.2,2846.27,0.28,0.97,-5.19,9.76,13.76,9.080870628356934,-31.81321907043457,118678
118679,Reliance Income Fund - Direct Plan Growth Plan-Bonus Option,* *,EQ-MC,1/1/2013,1.45,-12.2,6412.14,0.56,0.9,-0.75,15.49,17.63,12.470911026000977,24.85980224609375,118679
118687,Reliance Income Fund - Direct Plan Growth Plan - Growth Option,* *,EQ-MC,1/1/2013,1.45,-12.2,6412.14,0.56,0.9,-0.75,15.49,17.63,19.984821319580078,23.5439510345459,118687
118692,Reliance Focused Equity Fund - Direct Plan Growth Plan - Growth Option,* * *,EQ-MLC,1/1/2013,1.4,-14.67,4165.21,0.51,1.08,-1.83,15.17,21.19,12.824666023254395,-18.646591186523438,118692
118701,Reliance Liquid Fund - Treasury Plan - Direct Plan Growth Plan - Growth Option,* * * * *,EQ-LC,1/1/2013,1.2,-1.92,11793.87,0.95,1,1.63,18.32,18.33,-21.759855270385742,17.678550720214844,118701
118702,Reliance Money Manager Fund - Direct Plan Growth Plan - Bonus Option,* * * * *,EQ-LC,1/1/2013,1.2,-1.92,11793.87,0.95,1,1.63,18.32,18.33,-12.3986177444458,27.798505783081055,118702
118709,Reliance Money Manager Fund - Direct Plan Growth Plan - Growth Option,* * * * *,EQ-LC,1/1/2013,1.2,-1.92,11793.87,0.95,1,1.63,18.32,18.33,-17.23151969909668,28.492345809936523,118709
118715,Reliance Liquidity Fund - Direct Plan Growth Plan - Bonus Option,* * * * *,EQ-LC,1/1/2013,1.2,-1.92,11793.87,0.95,1,1.63,18.32,18.33,-21.221776962280273,16.769880294799805,118715
118719,Reliance Liquidity Fund - Direct Plan Growth Plan - Growth Option,* * * * *,EQ-LC,1/1/2013,1.2,-1.92,11793.87,0.95,1,1.63,18.32,18.33,-20.8057804107666,17.151439666748047,118719
118722,Reliance Consumption Fund - Direct Plan Growth Plan - Bonus,Unrated,EQ-T Consumption,1/1/2013,1.23,-10,74.66,0.02,0.83,-6.03,8.2,12,18.430395126342773,-9.748017311096191,118722
118724,Reliance Consumption Fund - Direct Plan Growth Plan - Growth Option,Unrated,EQ-T Consumption,1/1/2013,1.23,-10,74.66,0.02,0.83,-6.03,8.2,12,18.43023681640625,-9.747698783874512,118724
118726,Reliance Monthly Income Plan - Direct Plan Growth Plan - Growth Option,* * * * *,EQ-LC,1/1/2013,1.2,-1.92,11793.87,0.95,1,1.63,18.32,18.33,9.41930103302002,2.0081052780151367,118726
118736,Reliance Balanced Advantage Fund - Direct Plan Growth Plan - Growth Option,* * *,EQ-ELSS,12/23/2008,1.29,-1.86,72.96,0.84,0.81,-0.05,14.47,14.64,4.959354877471924,-28.563282012939453,118736
118737,Reliance Balanced Advantage Fund - Direct Plan Growth Plan - Bonus Option,* * *,EQ-ELSS,12/23/2008,1.29,-1.86,72.96,0.84,0.81,-0.05,14.47,14.64,-5.379344940185547,0.5281089544296265,118737
118741,Reliance Index Fund - Nifty Plan - Direct Plan Growth Plan - Growth Option,* *,EQ-LC,1/1/2013,0.29,3.47,137.93,0.85,1,-0.67,16.22,12.96,-3.4738543033599854,-34.98012161254883,118741
118742,Reliance Index Fund - Nifty Plan - Direct Plan Growth Plan - Bonus Option,* *,EQ-LC,1/1/2013,0.29,3.47,137.93,0.85,1,-0.67,16.22,12.96,-3.3246562480926514,-34.9854850769043,118742
118747,Reliance Dynamic Bond Fund - Direct Plan Growth Plan - Growth Option,Unrated,EQ-T Consumption,1/1/2013,1.23,-10,74.66,0.02,0.83,-6.03,8.2,12,17.62220573425293,20.354360580444336,118747
118758,Reliance Pharma Fund - Direct Plan Growth Plan - Bonus Option,Unrated,EQ-S Pharma,1/1/2013,1.23,6.59,2720.2,-0.24,0.72,7.75,5.6,13.2,-9.608376502990723,5.5684943199157715,118758
